,kind,answer,passage,question
97,2,正しい,モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉であり事物や現象のモデルを作ることをモデル化と呼ぶ。妥当性の高いモデル化ができれば、これを使って実際には行うことが困難な実験を計算だけで行ったり、複雑な現象を再現したりするための手段としても活用できる。,次の文章は正しいか答えてください。モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉である。
128,2,正しい,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,次の文章は正しいか答えなさい。ベクタ系画像処理ソフトウェアでは、図形はオブジェクトというひとつの塊として描画される。
88,2,正しくない,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,次の文章は正しいですか?選択ソートはリスト内のデータから中央値を探索し、中央値から順に取り出すことで並べ替えを実現するアルゴリズムである。
164,1,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,"コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び,これは広義のコンピュータウイルスに当たる.",マルウェアとは何ですか
19,0,eラーニングシステム,教育分野などで機材提供や学習履歴に基づく指導を行うために用いられる、eラーニングシステムがある。,教育分野で用いられる情報システムはなにか
127,2,正しい,近年では、検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象(フィルターバブル)が指摘されている。,次の文章は正しいか答えなさい。検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象が指摘されている。
9,1,無線lanのデメリットは空気中を電波でデータを伝送するため傍受することが容易なことである。,有線lanでは物理的なケーブルを用いてデータを転送するのに対して、無線lanでは、空気中を電波でデータを伝送するために、傍受することが容易であることがデメリットである。,無線lanのデメリットは何か
1,0,アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層,tcp/ipの4階層モデルについて、インターネットの通信においては、tcp、ipv4、ipv6、dhcp、http、smtp、popなどの様々なプロトコルが用いられるが、これらは4層のレイヤに分けて考えることができる。アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層の4つである。,4層のレイヤの名前はそれぞれなんですか
94,0,確率モデル,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,サイコロやくじ引きのような不規則な現象を含んだモデルを何というか
71,1,実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となる,"ある一定の範囲内において,すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその特質上計算で値を生成するので計算による擬似的な乱数しか生成できない。これを擬似乱数(以後「乱数」と表現する)という。この乱数をプログラム内で用いることにより,実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となり,プログラムを現実世界のシミュレーションなどに活用することが可能となる。",プログラムに乱数を用いることでどのような利点が発生するか。
